Primary ID	Sub ID	Name	Image URL	Description	Proof	Size	Price	Top Shelf	Product Id
3	9	Stella Artois	../imgs/products_imgs/stella_12pack.png	"Stella Artois is traditional malted barley and the finest European hops give Stella Artois its superior quality and full characteristic flavor. The history of Stella Artois can be traced back to 1366 in Leuven, Belgium."	5	12 Pack / 11 oz.	13.99	No	1023
3	10	Newcastle Brown Ale	../imgs/products_imgs/newcastle_12pack.png	"Newcastle Brown Ale is the gold standard in brown ales since Colonel Jim Porter perfected his recipe in 1927. It's nutty aroma, full-bodied flavor and delicate fruity aroma makes it pleasurable and easy to drink."	4.7	12 Pack / 12 oz.	25.99	No	1024
3	10	Stone Arogant Bastard Ale	../imgs/products_imgs/arogant_6pack.png	"Stone Arogant Bastard Ale, ""Arrogant Bastard Ale is an aggressive beer. You probably won't like it. It is quite doubtful that you have the taste or sophistication to appreciate an ale of this quality and depth."" [from the Stone Brewing website]"	7.2	6 Pack / 16 oz.	10.99	No	1025
1	11	Wente Cabernet Sauvignon Southern Hills	../imgs/products_imgs/wente_southern_hills.png	"Wente Cabernet Sauvignon Southern Hills complexity in this bottle is due to the grapes being developed from those in the famed Margaux and Medoc regions of Bordeaux. Having ample tannins and good acidity, coupled with ripe fruit makes this bottle pretty impressive at a great price."	13.5	750 ML	12.99	No	1026
1	11	Menage A Trois Red Blend	../imgs/products_imgs/menage_red.png	"Ménage A Trios Red Blend wine has fresh, ripe, jam like fruit that is the calling card of California wine. Forward, silky and soft, this delicious dalliance makes the perfect accompaniment for grilled meats and chicken."	13.5	750 ML	7.97	No	1027
1	12	Wente Riva Ranch Chardonnay	../imgs/products_imgs/wente_riva_ranch.png	"Wente Riva Ranch Chardonnay wine has notes of daffodil, white flower, Asian pear and almond aromas make for a clean and crisp nose in this single-vineyard expression from the pioneering family. It's lively and fresh in flavors of honeydew, pear and sea salt"	13.5	750 ML	19.99	No	1028
1	12	Wente Morning Fog Chardonnay	../imgs/products_imgs/wente_morning_fog.png	"Wente Morning Fog Chardonnay has buttery, apple like flavors with hints of honey, vanilla, and oak highlight this Chardonnay. Full-bodied with a lingering creamy finish allow this to pair well with oysters, chicken and veal."	13.5	750 ML	11.97	No	1029
1	15	La Marca Prosecco	../imgs/products_imgs/prosecco.png	"La Marca Prosecco is a fresh sparkling wine with a vibrant bouquet of apple, white peach and honeysuckle. The soft, harmonious fruity notes highlighted by pleasant acidity make this wine ideal for any occasion."	11	750 ML	12.97	No	1030
1	15	Veuve Clicquot Champagne	../imgs/products_imgs/clicquot_champagne.png	"Veuve Clicquot Champagne has complex aromas of bright and beautiful ripe fruit, poached pear, grated ginger, and light cream. Excellent depth and persistence. Medium bodied, active and layered on the palate; dry, medium acidity, and well balanced."	12	750 ML	46.97	Yes	1031
1	13	Josh Cellars Rose	../imgs/products_imgs/josh_rose.png	Josh Cellars Rose is fermented cold to ensure maximum retention of bright fresh fruit aromas and to create a crisp and elegant Rose. The nose is bright with aromas of fresh strawberries and white peaches. The wine is dry and bursts with citrus.	12	750 ML	10.97	No	1032
1	14	Montonico Port	../imgs/products_imgs/montonico_port.png	"Montonico Port is an intensely flavored and moderately sweet fortified wine, offering nutty flavors mixed with fruity aromas such as black currant, plum, caramel and dried red fruits."	19	750 ML	12.49	No	1033
1	14	Offley Ruby Port	../imgs/products_imgs/offley.png	Offley Ruby Port is a sweet red and black fruits dominate the nose and flavor profile of this wonderful dessert wine. This intensely fruity wine is a great way to introduce yourself to the quality of one of the most highly regarded port houses in the world. Serve with Aged Cheddars & Goudas.	19	750 ML	14.99	No	1034
